Term,Definition
Big-R Recursion,"The structural leap from one recursion frame (Rₙ) to the next (Rₙ₊₁), initiated when a frame collapses into paradox at its resolution limit. It generates a new 3D coordinate system with redefined axes."
Parametric Recursion,"The continuous orbiting motion within a recursion frame around the Yₙ axis. It produces structure, time, and experience but does not create new recursion frames."
Pₙ (Paradox Point),The unresolved intersection of Gₙ and Bₙ in a recursion frame. It cannot be resolved within the current frame and becomes the origin Oₙ₊₁ of the next recursion.
Oₙ (Recursion Origin),"The structural origin of recursion frame Rₙ, generated when the paradox point Pₙ₋₁ flattens and redefines the coordinate system."
xAxisₙ,"The horizontal axis in recursion frame Rₙ. Initially represents the probability gradient (in R₁), and is redefined in higher frames (e.g., mass in R₂)."
yAxisₙ,The vertical asymptotic axis in recursion frame Rₙ. It arises from the unresolved paradox at the center of Gₙ and reorients in each new frame.
zAxisₙ (Zₙ),The axis of rotation that stabilizes asymmetry within a recursion frame. Its introduction completes the 3D structure of Rₙ.
Gₙ (Gradient Function),"The curve Yₙ = 1/Xₙ, representing an infinite gradient from improbable to probable, curved globally and flat locally."
Bₙ (Balance Function),"The structural balance line (e.g., Yₙ = Xₙ) that becomes asymptotic to Gₙ and defines the point of paradox (Pₙ)."
String,"The smallest stable instance of parametric recursion in a frame. A tightly curved orbit around Yₙ; below this scale, structure collapses into paradox and seeds Big-R Recursion."
Planck Scale (Recursive Model),"The resolution limit of parametric recursion in Rₙ. At this scale, the frame flattens into structural stillness and transitions into the void, initiating Oₙ₊₁."
Naming (Recursive Taoism),Not an act but a structural inflection. Naming is the collapse of infinite potential into local flatness—the selection of a recursion origin and the birth of a frame.
Observation,"The structural selection of a local recursion frame (Oₙ), flattening global curvature into experience. Observation does not alter reality—it defines the frame of its unfolding."
Local Flatness,The condition that all experience appears flat locally because each point observed is the center of its own recursion frame.
Void (R₀),"The pre-structural, infinitely divisible, paradoxically balanced state. No structure, only potential. Structural recursion begins from the void."
