Character,Pinyin Romanization,Radical Components,Translation_Options,Structural Gene,RSM Mapping,Usage Frequency,Connected Chapters
道,dào,"辶 (chuò - walk; walking) + 
首 (shǒu - head first; leader, chief; a poem)
->䒑 (cǎo - grass; straw; herbs; weeds) +
->自 (zì - self, private, personal; from)
-->目 (mù - eye; look, see; division, topic) +
-->丶(zhǔ - dot)","path, road, street; method, way",Self-referential navigation,R - Recursion,76 occurences,#NAME?
可,kě,"口 (kǒu - mouth; open end; entrance, gate) +
丁 (dīng, zhēng - male adult; robust, vigorous; 4th heavenly stem)",fit/suited to/for; inviting; (that/which) could be,,,,
非,fēi,,"not, negative, non-; oppose",,,,
常,cháng,"小 (xiǎo - small, tiny, insignificant)+
吊 (diào - console, mourn, pity; hang)
->口 (kǒu - mouth; open end; entrance, gate) +
->巾 (jīn - kerchief; towel; turban)
-->冂 (jiōng - wide) +
-->丨 (gǔn - number one; line)","(a, the) constant, permanent, absolute, general",,,,
名,míng,"夕 (xī - evening, night, dusk; slanted) +
口(kǒu - mouth; open end; entrance, gate)","(a, the) distinction, name, term, title (s), name, rank, title, position",,,,
無,wú,"火 (huǒ - fire, flame; burn; anger, rage) +
灬 ","un-; ^-less; nothing(ness); without; in-; negative, no, not; lack, have no",,,,
天,tiān,"一 (yī - one; a, an; alone) +
大 (dà - big, great, vast, large, high)","(is) heaven, (the) sky; ^creation, everything, celestial",,,,
地,dì,"土 (tǔ - soil, earth; items made of earth) +
也 (yě - also; classical final particle of strong affirmation or identity)
-->乜 (miē - to squint; (Can't.) what? huh?) +
-->丨(gǔn - number one; line)","& earth, (the) land;   } (the) universe",,,,
之,zhī,,"...'s, ...s'; ^of, for, to vv; marks preceding phrase as modifier of following phrase; it, him, her, them; go to",,,,
始,shǐ,"女 (nǔ - woman, girl; feminine; rad 38) +
台 (tái - platform; unit; term of address)
-->厶(sī - private, secret; radical 28) +
-->口(kǒu - mouth; open end; entrance, gate)
","beginning, birth, conception, origin, source, begin, start; then, only then",,,,
有,yǒu,"𠂇 + 
->丿 (piě - line; radical 4) +
->一 (yī - one; a, an; alone) 
月 (yuè - moon; month; radical 74)","having, with; Being, Existence, Presence; the",,,,
萬,wàn,"艹 (grass; radical 140) +
禺 (yú - district)
->田 (tián - field, arable land, cultivated) +
->禸 (róu - rump; radical 114)","(is) (a, the) myriad, ten thousand; all",,,,
物,wù,"牜 (an ox, a cow, radical 93) +
勿 (wù - must not, do not; without, never)","beings, creatures, entities, things; of creation",,,,
母,mǔ,,"mother, matrix; source, common denominator; female elders; female",,,,
故,gù,"古 (gǔ - old, classic, ancient) +
->十 (ten, tenth; complete; perfect) +
->口 (kǒu - mouth; open end; entrance, gate)
攵 (suī - rap, tap; radical 66)","(and) so, then; therefore, thus, hence; given this; ancient, old; reason, because",,,,
欲,yù,,"desire, partial(ity), passion(ate), intent(ion) (v)",,,,
以,yǐ,,"thereby, thus; in order; as (a, the) way/means",,,,
觀,guān,,"(to) contemplate, observe, perceive, see, view",,,,
其,qí,,"the, these; such; its; things; what/that which is",,,,
妙,miào,,"mystery(ious), subtle(ty), wonder(ful) (s)",,,,
徼,jiào,,"boundary, objective, form, end (s); sought",,,,
此,cǐ,,these; ^ of these,,,,
兩,liǎng,,two; ^  of these,,,,
者,zhǐ,,"are; imply, indicate, mean, signify, suggest (s)",,,,
同,tóng,,"the same; identical, one;  ^ together, as one",,,,
出,chū,,"(in, when) emerge, arise, come (ing) out (v)",,,,
而,ér,,"(and) yet; ut, yet; although, merely, only; while",,,,
異,yì,,"different, separate; differ, diverge, vary (ing)",,,,
謂,wèi,,"calls; means, signals, suggests; speaks, tells",,,,
玄,xuán,,"depth, mystery, profundity, subtlety(ies)",,,,
又,yòu,,"(even, still, yet) more, further, greater",,,,
眾,zhòng,,"(is^^) all, every; (a, the) multitude, myriad",,,,
門,mén,,"(a, the) door, gate (way); portal, threshold",,,,
