slip_id,chapter,category,chinese,pinyin,english,significance,confirmed_ancient
A37,40,CORE_ENGINE,返也者道之動也,fǎn yě zhě dào zhī dòng yě,Reversal is pattern's movement,OSCILLATION_PRINCIPLE,TRUE
A37,40,CORE_ENGINE,弱也者道之用也,ruò yě zhě dào zhī yòng yě,Yielding is pattern's function,YIELDING_PRINCIPLE,TRUE
A22,25,RECURSION_CYCLE,大曰潰,dà yuē kuì,Great called overflow,CYCLE_STAGE_1,TRUE
A22,25,RECURSION_CYCLE,潰曰遠,kuì yuē yuǎn,Overflow called far,CYCLE_STAGE_2,TRUE
A22,25,RECURSION_CYCLE,遠曰反,yuǎn yuē fǎn,Far called return,CYCLE_STAGE_3,TRUE
A23,25,ULTIMATE_GROUND,道法自然,dào fǎ zì rán,Pattern follows self-so,SELF_SO,TRUE
A24,16,RETURN_OPERATOR,各復其根,gè fù qí gēn,Each returns to its root,RETURN_TO_ROOT,TRUE
A34,55,CONSTANT,知和曰常,zhī hé yuē cháng,Knowing harmony is the constant,CONSTANT_DEFINITION,TRUE
A34,55,EPISTEMOLOGY,知常曰明,zhī cháng yuē míng,Knowing constant is clarity,CLARITY_CASCADE,TRUE
A13,37,NON_ACTION,道恆亡為,dào héng wáng wéi,Pattern constantly non-acts,NON_ACTION,TRUE
A13,37,NAMELESS,亡名之樸,wáng míng zhī pǔ,Nameless uncarved block,PRE_DIFFERENTIATED,TRUE
A15,2,MUTUAL_OP,相生,xiāng shēng,Mutual arising,CO_EMERGENCE,TRUE
A16,2,MUTUAL_OP,相成,xiāng chéng,Mutual completing,CO_EMERGENCE,TRUE
A16,2,MUTUAL_OP,相形,xiāng xíng,Mutual shaping,CO_EMERGENCE,TRUE
A16,2,MUTUAL_OP,相盈,xiāng yíng,Mutual filling,CO_EMERGENCE,TRUE
A16,2,MUTUAL_OP,相和,xiāng hé,Mutual harmonizing,CO_EMERGENCE,TRUE
A16,2,MUTUAL_OP,相隨,xiāng suí,Mutual following,CO_EMERGENCE,TRUE
A13,37,SELF_OP,自化,zì huà,Self-transform,SELF_ORGANIZATION,TRUE
A14,32,SELF_OP,自定,zì dìng,Self-settle,SELF_ORGANIZATION,TRUE
