Character,Pinyin Romanization,Radical Components,Translation_Options,Structural Gene,RSM Mapping,Usage Frequency,Connected Chapters
道,dào,"辶 (chuò - walk; walking) + 首 (shǒu - head first; leader, chief; a poem) ->䒑 (cǎo - grass; straw; herbs; weeds) + ->自 (zì - self, private, personal; from) -->目 (mù - eye; look, see; division, topic) + -->丶(zhǔ - dot)","path, road, street; method, way; principle, truth",Self-referential navigation,"R - Recursion (Complete structural set {P, G, X, Y, Z, O, R})","76 occurrences","1,25,40,42,81"
可,kě,"口 (kǒu - mouth; open end; entrance, gate) + 丁 (dīng, zhēng - male adult; robust, vigorous; 4th heavenly stem)","fit/suited to/for; inviting; (that/which) could be; possibility/potential",Potential function opening,"Quantum superposition gateway","High frequency","1"
非,fēi,null,"not; non-; negation; opposite","Complementarity principle","Wave-particle duality operator","Medium frequency","1"
常,cháng,"小 (xiǎo - small, tiny, insignificant)+ 吊 (diào - console, mourn, pity; hang) ->口 (kǒu - mouth; open end; entrance, gate) + ->巾 (jīn - kerchief; towel; turban) -->冂 (jiōng - wide) + -->丨 (gǔn - number one; line)","(a, the) constant, permanent, absolute, general; eternal",Small containing infinite,"Conservation laws and universal constants","High frequency","1"
名,míng,"夕 (xī - evening, night, dusk; slanted) + 口(kǒu - mouth; open end; entrance, gate)","(a, the) distinction, name, term, title (s), name, rank, title, position",Labeling function,"Categorization operator","High frequency","1"
無,wú,null,"nothing(ness); without, with no; be/have no; void","Functional emptiness","P₀ (impossible void) / quantum vacuum","Very high frequency","1,40,42"
天,tiān,"一 (yī - one; a, an; alone) + 大 (dà - big, great, vast, large, high)","(is) heaven, (the) sky; ^creation, everything, celestial",Unity manifesting as vastness,"Unified field / infinite extension","High frequency","1,5,7,42,81"
地,dì,"土 (tǔ - soil, earth; items made of earth) + 也 (yě - also; classical final particle of strong affirmation or identity) -->乜 (miē - to squint; (Can't.) what? huh?) + -->丨(gǔn - number one; line)","& earth, (the) land; } (the) universe",Material foundation affirming existence,"Matter / classical realm anchor","High frequency","1,5,7,42"
之,zhī,null,"...'s; ^ of/for/to v; has; (for/to) it/this; its/their",Possessive connector,"Relational operator","Very high frequency","Throughout"
始,shǐ,"女 (nǔ - woman, girl; feminine; rad 38) + 台 (tái - platform; unit; term of address) -->厶(sī - private, secret; radical 28) + -->口(kǒu - mouth; open end; entrance, gate)","beginning, birth, conception, origin, source, begin, start; then, only then",Feminine generative beginning,"P₁ transition point","Medium frequency","1"
有,yǒu,"𠂇 + ->丿 (piě - line; radical 4) + ->一 (yī - one; a, an; alone) 月 (yuè - moon; month; radical 74)","having, with; Being, Existence, Presence; the",Grasping function creating cycles,"P₁ and all recursive manifestations","Very high frequency","1,2,40,42,81"
萬,wàn,"艹 (grass; radical 140) + 禺 (yú - district) ->田 (tián - field, arable land, cultivated) + ->禸 (róu - rump; radical 114)","(is) (a, the) myriad, ten thousand; all",Infinite manifestation,"All parametric instances {P₂, P₃, P₄...∞}","High frequency","1,42"
物,wù,"牜 (an ox, a cow, radical 93) + 勿 (wù - must not, do not; without, never)","beings, creatures, entities, things; of creation",Power bound into forms,"Elementary particles / matter as bound energy","High frequency","1,42"
母,mǔ,null,"mother; origin, source","Generative principle","Maternal function in manifestation","Medium frequency","1,25"
故,gù,"古 (gǔ - old, classic, ancient) + ->十 (ten, tenth; complete; perfect) + ->口 (kǒu - mouth; open end; entrance, gate) 攵 (suī - rap, tap; radical 66)","(and) so, then; therefore, thus, hence; given this; ancient, old; reason, because",Causal connector,"Logical necessity operator","High frequency","Throughout"
欲,yù,null,"desire; want; wish","Desire creating scarcity","Scarcity-generating function","Medium frequency","1,3"
以,yǐ,null,"by, with, using; thereby, thus; for, to; regard as",Instrumental connector,"Means/method operator","Very high frequency","Throughout"
觀,guān,null,"observe, see, watch, view; concept","Observation function","Measurement operator","Medium frequency","1"
其,qí,null,"one's/their (own); that which; (of) it/this/such",Possessive/demonstrative,"Reference operator","Very high frequency","Throughout"
妙,miào,null,"subtle, wonderful, mysterious","Quantum subtlety","Fine structure operator","Medium frequency","1"
徼,jiào,null,"boundary, limit, border","Classical boundaries","Measurement limit function","Low frequency","1"
此,cǐ,null,"this, these; here","Demonstrative pointer","Indexical operator","High frequency","1,2"
兩,liǎng,null,"two; ^ of these","Binary pair","Complementary duality","Medium frequency","1,2"
者,zhǐ,null,"are; imply, indicate, mean, signify, suggest (s)","Nominalizer","Entity marker","High frequency","Throughout"
同,tóng,null,"the same; identical, one; ^ together, as one","Identity through difference","Unified field operator","Medium frequency","1,2"
出,chū,null,"(in, when) emerge, arise, come (ing) out (v)","Emergence function","Manifestation operator","Medium frequency","1,2"
而,ér,null,"(and) yet; ut, yet; although, merely, only; while","Conjunction with tension","Paradox connector","Very high frequency","Throughout"
異,yì,null,"different, separate; differ, diverge, vary (ing)","Differentiation","Distinction operator","Medium frequency","1,2"
謂,wèi,null,"calls; means, signals, suggests; speaks, tells","Naming/calling","Linguistic designation","Medium frequency","1,2"
玄,xuán,null,"depth, mystery, profundity, subtlety(ies)","Mysterious depth","Quantum vacuum / dark energy","High frequency","1,2,6"
